["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(1000, 3)
1.9111267024567672e+14 6.0199333314691749e-03 1.3237146273485745e+01
1.9112486633184428e+14 6.0557574886572884e-03 1.3280979304358258e+01
1.9113706397472719e+14 6.0913809285551733e-03 1.3324836631542691e+01
1.9114926317462344e+14 6.1268019107286169e-03 1.3368713901751429e+01
1.9116146393183125e+14 6.1620183996990447e-03 1.3412606828026309e+01
1.9117366624664881e+14 6.1970280470677493e-03 1.3456511191873666e+01
1.9118587011937441e+14 6.2318281759877556e-03 1.3500422845436233e+01
1.9119807555030644e+14 6.2664157679678855e-03 1.3544337713689069e+01
1.9121028253974334e+14 6.3007874519784794e-03 1.3588251796643743e+01
1.9122249108798366e+14 6.3349394958290197e-03 1.3632161171550420e+01
1.9123470119532597e+14 6.3688677997773739e-03 1.3676061995082470e+01
1.9124691286206897e+14 6.4025678923177618e-03 1.3719950505491088e+01
1.9125912608851141e+14 6.4360349275591009e-03 1.3763823024795377e+01
1.9127134087495209e+14 6.4692636865740505e-03 1.3807675960642371e+01
1.9128355722168997e+14 6.5022485785386748e-03 1.3851505808423010e+01
1.9129577512902403e+14 6.5349836444011187e-03 1.3895309153218752e+01
1.9130799459725328e+14 6.5674625629016832e-03 1.3939082671590121e+01
1.9132021562667691e+14 6.5996786580974605e-03 1.3982823133306422e+01
1.9133243821759406e+14 6.6316249085629905e-03 1.4026527402969132e+01
1.9134466237030412e+14 6.6632939581754876e-03 1.4070192441522677e+01
1.9135688808510641e+14 6.6946781283913088e-03 1.4113815307643669e+01
1.9136911536230031e+14 6.7257694319176314e-03 1.4157393159006180e+01
1.9138134420218544e+14 6.7565595876718587e-03 1.4200923253414546e+01
1.9139357460506134e+14 6.7870400369347671e-03 1.4244402949800660e+01
1.9140580657122772e+14 6.8172019605915977e-03 1.4287829709084496e+01
1.9141804010098428e+14 6.8470362973531594e-03 1.4331201094892059e+01
1.9143027519463088e+14 6.8765337628599477e-03 1.4374514774132994e+01
1.9144251185246741e+14 6.9056848695601414e-03 1.4417768517433929e+01
1.9145475007479384e+14 6.9344799472619055e-03 1.4460960199430142e+01
1.9146698986191025e+14 6.9629091642553972e-03 1.4504087798914545e+01
1.9147923121411675e+14 6.9909625489121422e-03 1.4547149398847450e+01
1.9149147413171356e+14 7.0186300116522500e-03 1.4590143186226712e+01
1.9150371861500097e+14 7.0459013672020867e-03 1.4633067451824081e+01
1.9151596466427934e+14 7.0727663570332036e-03 1.4675920589788142e+01
1.9152821227984906e+14 7.0992146719091537e-03 1.4718701097119295e+01
1.9154046146201075e+14 7.1252359744491418e-03 1.4761407573021616e+01
1.9155271221106491e+14 7.1508199216278340e-03 1.4804038718132528e+01
1.9156496452731228e+14 7.1759561871425461e-03 1.4846593333640929e+01
1.9157721841105356e+14 7.2006344835671759e-03 1.4889070320292650e+01
1.9158947386258956e+14 7.2248445842356913e-03 1.4931468677293854e+01
1.9160173088222125e+14 7.2485763447890606e-03 1.4973787501115261e+01
1.9161398947024950e+14 7.2718197243278430e-03 1.5016025984201852e+01
1.9162624962697550e+14 7.2945648061218879e-03 1.5058183413597934e+01
1.9163851135270028e+14 7.3168018178321054e-03 1.5100259169488023e+01
1.9165077464772509e+14 7.3385211511950424e-03 1.5142252723664313e+01
1.9166303951235122e+14 7.3597133811446136e-03 1.5184163637923454e+01
1.9167530594688000e+14 7.3803692843299653e-03 1.5225991562399331e+01
1.9168757395161291e+14 7.4004798570083364e-03 1.5267736233838285e+01
1.9169984352685144e+14 7.4200363322891429e-03 1.5309397473821351e+01
1.9171211467289719e+14 7.4390301967089808e-03 1.5350975186939547e+01
1.9172438739005184e+14 7.4574532061335479e-03 1.5392469358928698e+01
1.9173666167861719e+14 7.4752974009623446e-03 1.5433880054766711e+01
1.9174893753889494e+14 7.4925551206466061e-03 1.5475207416740364e+01
1.9176121497118709e+14 7.5092190175111914e-03 1.5516451662487837e+01
1.9177349397579559e+14 7.5252820698806649e-03 1.5557613083017369e+01
1.9178577455302253e+14 7.5407375945238274e-03 1.5598692040712262e+01
1.9179805670317003e+14 7.5555792584142672e-03 1.5639688967322305e+01
1.9181034042654028e+14 7.5698010898297228e-03 1.5680604361949221e+01
1.9182262572343559e+14 7.5833974887918078e-03 1.5721438789028420e+01
1.9183491259415834e+14 7.5963632368741835e-03 1.5762192876312058e+01
1.9184720103901097e+14 7.6086935063858930e-03 1.5802867312856746e+01
1.9185949105829597e+14 7.6203838689584500e-03 1.5843462847020570e+01
1.9187178265231597e+14 7.6314303035490035e-03 1.5883980284472326e+01
